slug,event_slug,volume,Condition,Yes,No,outcomeYes,outcomeNo
will-the-fed-raise-interest-rates-by-25-bps-after-its-september-meeting,fed-interest-rates-september-2023,33764.273421,0xdc1940353bf7968dc9770d329754b5675c8c025e87a3a0feb7206453b6054bd6,"73637917024278568699383638572664292877691949076040066040165105144568893884258","72803341101411586378009006004155648884828886800562801344417888719890794357207","0","1"
fed-decreases-interest-rates-by-50-bps-after-september-2025-meeting,fed-decision-in-september,280529.649455,0x6c3d5fba5442f3e725eb89b7cffcc341ca3105cddaac09c1e4bc8e7010f0fe40,"7988364699307342268260495915445731509602502693363579435248273813409237524599","27120152309306977992209464424197509161348402683341807871062277866907268946377","0.0365","0.9635"
fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting,fed-decision-in-september,458869.195166,0x9f41a3e4a2ef548cf207c22a48dbaf73e28dda5ec014c145217f428aaf3769e3,"56831000532202254811410354120402056896323359630546371545035370679912675847818","79553968714861287125371173419763227479205479532937949925802161725185793021612","0.43","0.57"
no-change-in-fed-interest-rates-after-september-2025-meeting,fed-decision-in-september,397482.293659,0x02dc46f4354c1cc447577db82ba62cca1bda737bd67b73fe966ce1bfe580868f,"20687552179259492015264396642668768958132112743605647653821858729131283300433","112366758121468199816335075341769488016411976085810291047672574777931003289565","0.52","0.48"
fed-increases-interest-rates-by-25-bps-after-september-2025-meeting,fed-decision-in-september,290799.815376,0xe8d095422da9f6c3ceed727a4b6251177f618b002d2a698bfccb48716c7aa469,"97074764040588542658874497669096893626986100487337837811070855646477555671862","62835854561266997596361442356625985627589507414091189314191988485055558104085","0.0105","0.9895"
will-the-fed-raise-interest-rates-by-0-bps-after-its-november-meeting-23,fed-interest-rates-november-2023,19162.751411999998,0xb3b8ce34ae09a3d89aa860f033a2309b28f4712b1879bc5c6f787df3788e5d1d,"64491459036649486465219314835076276447891025704214489957553300520629529973873","10372453836545482036828827854996378603070140800443301391619059118461747859367","1","0"
will-the-fed-raise-interest-rates-by-25-bps-after-its-november-meeting-23,fed-interest-rates-november-2023,19316.121402,0x0fb3a064027b95de36af33e6b88b9bbd56f9e80707fe828c542daa3bd38f9001,"25537452877782135399272333865550911864224802861212236483675928009444537991243","6310933179904297809284134724406866984628219747291239345850114335489293123453","0","1"
fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,fed-interest-rates-june-2024,571695.348357,0x5df9458d9918da733d784bc2a07768b293d10826385a3eb31dd716f99475dc79,"105335949811124386846945739797176354973352045946592454514796555249725921609384","88977959259491902885593980116659978910995500377920492489622863233737846480393","0","1"
fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,fed-interest-rates-june-2024,602846.108907,0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,"110024958657457359532038665777399264506271681375762791050970079862807455423716","41923275653168802773722021577656941405318779178082176346555928498667069501442","0","1"
no-change-in-fed-interest-rates-after-2024-june-meeting,fed-interest-rates-june-2024,530059.986699,0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,"88465704193015812461296177724920569739949794882741848131901008619945303668495","53224487753765579354434176867966731811691409825559123281638739930498374694006","1","0"
fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,fed-interest-rates-june-2024,582731.685936,0x4c21fdaee92538da1af2d227e7688673fe8789decff537003cd3b67b0ecb1b8d,"90466366936933482311444495299458164031476797828715202684149333718525518630645","218946159346824336320872961903398997228117780414059645525619899309386305719","0","1"
will-the-fed-increase-interest-rates-by-0-bps-after-its-may-meeting,fed-interest-rates-may-2023,59840.957104,0xe83e0658c0c1cdfc4e2e4a82128307cc9b4c2cd0239c321f5a8f8a5ec38ae6b9,"23650086263083463046866085460688010098893623875122636648911714629906015607279","10471858302215688542208502268759874949544002641905802691882717205181975539961","0","1"
will-the-fed-decrease-interest-rates-by-25-bps-after-its-may-meeting,fed-interest-rates-may-2023,9782.958393,0xfe19e1af4350a0bbed71a3805badb5b661c0598321d983b1f2e7066c7261a83d,"77209694159259082790197575986383892325824939786255945625736889530908894966530","106894307989340759913868406556054824998948304407480823363891857716916994404948","0","1"
will-the-fed-increase-interest-rates-by-25-bps-after-its-may-meeting,fed-interest-rates-may-2023,161929.810726,0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,"115350632289540754655477413035450781265287800543010890679113445883868019459501","72247065509596322987954240702477792839614359984333109694276656335002416281376","1","0"
will-the-fed-increase-interest-rates-by-50-bps-after-its-may-meeting,fed-interest-rates-may-2023,17386.70661,0x50555c7f34fc16f03d84dd3c5f416506e53455515a8ca82c0fa90a2f8cacb5d3,"33261527669619336954907279704446573896925969032948558995572827246663602014042","14238800886134206466800443936736771012962205374384524743080567563718052148260","0","1"
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,fed-interest-rates-may-2024,286083.436551,0x7f7acaad0b6132ec2f72ba179eebca814865a2c598705381a8e8aa3acce5b0b5,"80008014025296677859920829476639341785820697424124805347618728999642819187991","9217171306727224021688293954254968529052454633491771853374148728911687996458","0","1"
no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,fed-interest-rates-may-2024,165142.107795,0x23a9be32693bd427cce236d5af3e9f86aa38776e3ff4823faa7f51443d1a5647,"106069101498679413374977045562974413976756527245227090310649786199626426823943","72141376668094849954769492573122997402302135905135429328833793996019277552138","1","0"
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,fed-interest-rates-may-2024,234731.018528,0xf0d028fe7f2f078c4812151ba80cf390f8b39e5f8159b24b09833d7d20df9629,"115747801363178125935864813183081177465824595640832734323974616842434316157020","45151182420734454704899827734789694317717530611782402432328791189631545852469","0","1"
will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,fed-interest-rates-may-2024,214654.559785,0xe92b0c7d4a663200f4464e2547c468ba245e462289f88c7bae660feae8dd281a,"19667768821035752473896311318796357210685218881506909594946157304598352119125","21460134641425227566341425854729853966100486480195146784236059759485433838126","0","1"
